label,ip_len,total_len,proto,tos,tcp_offset,max_packet_len,min_packet_len,max_ipd,min_ipd,last ipd
1,5.0,322.0,6.0,0.0,5.0,933.0,54.0,512.0,0.0,133.0
1,5.0,364.0,6.0,0.0,8.0,1514.0,66.0,283.0,0.0,7.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,192.0,0.0,0.0
0,5.0,54.0,6.0,0.0,5.0,1514.0,54.0,11.0,0.0,0.0
1,5.0,810.0,6.0,0.0,8.0,810.0,66.0,837.0,0.0,837.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,754.0,0.0,0.0
2,5.0,1422.0,17.0,0.0,0.0,1422.0,142.0,885.0,0.0,6.0
1,5.0,117.0,6.0,0.0,8.0,1514.0,66.0,2043.0,0.0,982.0
1,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1803.0,0.0,0.0
1,5.0,92.0,6.0,0.0,5.0,737.0,54.0,507.0,0.0,0.0
2,5.0,1514.0,6.0,160.0,8.0,1514.0,66.0,790.0,0.0,0.0
0,5.0,1514.0,6.0,0.0,5.0,1514.0,54.0,254.0,0.0,5.0
2,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,981.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,1484.0,66.0,2022.0,0.0,16.0
0,5.0,180.0,6.0,0.0,5.0,1514.0,54.0,258.0,0.0,258.0
1,5.0,575.0,6.0,0.0,8.0,1494.0,66.0,354.0,0.0,0.0
2,5.0,1514.0,6.0,0.0,8.0,1514.0,66.0,976.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,105.0,66.0,1151.0,1151.0,1151.0
2,5.0,1074.0,17.0,0.0,0.0,1074.0,51.0,617.0,0.0,0.0
2,5.0,67.0,17.0,0.0,0.0,1392.0,67.0,322.0,0.0,242.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,2205.0,0.0,18.0
2,5.0,1422.0,17.0,0.0,0.0,1422.0,142.0,1875.0,0.0,6.0
1,5.0,1484.0,6.0,0.0,8.0,1484.0,66.0,1574.0,0.0,192.0
2,5.0,66.0,6.0,0.0,8.0,1474.0,66.0,904.0,0.0,490.0
1,5.0,1514.0,6.0,0.0,8.0,1514.0,66.0,216.0,0.0,14.0
2,5.0,54.0,6.0,0.0,5.0,1514.0,54.0,285.0,0.0,233.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,98.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,133.0,0.0,0.0
1,5.0,1514.0,6.0,0.0,8.0,1514.0,66.0,2.0,0.0,0.0
2,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,149.0,0.0,4.0
1,5.0,66.0,6.0,0.0,8.0,1484.0,66.0,2080.0,0.0,0.0
2,5.0,97.0,6.0,2.0,8.0,1514.0,66.0,916.0,0.0,713.0
0,5.0,117.0,6.0,0.0,8.0,583.0,66.0,460.0,6.0,460.0
1,5.0,66.0,6.0,0.0,8.0,1474.0,66.0,1755.0,0.0,529.0
0,5.0,54.0,6.0,0.0,5.0,1514.0,54.0,2177.0,0.0,6.0
1,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1882.0,0.0,0.0
2,5.0,54.0,6.0,0.0,5.0,1514.0,54.0,232.0,0.0,64.0
2,5.0,509.0,17.0,0.0,0.0,1074.0,52.0,658.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,711.0,66.0,156.0,19.0,156.0
2,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,1090.0,0.0,0.0
1,5.0,97.0,6.0,0.0,8.0,1514.0,66.0,384.0,0.0,4.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,754.0,0.0,17.0
1,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1828.0,0.0,0.0
1,5.0,54.0,6.0,0.0,5.0,1514.0,54.0,63.0,0.0,63.0
1,5.0,66.0,6.0,0.0,8.0,1484.0,66.0,1997.0,0.0,0.0
1,5.0,1475.0,6.0,0.0,8.0,1514.0,66.0,411.0,0.0,0.0
2,5.0,78.0,17.0,0.0,0.0,1074.0,51.0,617.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,192.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,717.0,0.0,3.0
1,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,1478.0,0.0,0.0
1,5.0,513.0,6.0,0.0,8.0,1484.0,66.0,2.0,0.0,0.0
2,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,562.0,0.0,3.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,2211.0,0.0,50.0
1,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,1665.0,0.0,0.0
0,5.0,156.0,6.0,0.0,8.0,1474.0,66.0,1586.0,0.0,715.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,957.0,0.0,0.0
2,5.0,1422.0,17.0,0.0,0.0,1422.0,142.0,1183.0,0.0,3.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,138.0,0.0,0.0
0,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,749.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,1484.0,66.0,1427.0,0.0,18.0
2,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,959.0,0.0,0.0
2,5.0,336.0,6.0,0.0,5.0,1514.0,54.0,2445.0,0.0,2445.0
2,5.0,1422.0,17.0,0.0,0.0,1422.0,142.0,789.0,0.0,12.0
2,5.0,54.0,6.0,0.0,5.0,1514.0,54.0,182.0,0.0,40.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,226.0,0.0,0.0
1,5.0,54.0,6.0,0.0,5.0,1514.0,54.0,756.0,0.0,290.0
2,5.0,1392.0,17.0,0.0,0.0,1392.0,67.0,364.0,0.0,18.0
2,5.0,66.0,6.0,0.0,8.0,1474.0,66.0,891.0,0.0,392.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,390.0,0.0,6.0
1,5.0,576.0,6.0,0.0,8.0,1494.0,66.0,647.0,0.0,35.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,5.0,0.0,5.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,754.0,0.0,14.0
2,5.0,1514.0,6.0,160.0,8.0,1514.0,66.0,729.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,1484.0,66.0,2032.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,216.0,0.0,6.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,103.0,0.0,2.0
1,5.0,93.0,6.0,0.0,8.0,1484.0,66.0,1256.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,754.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,268.0,0.0,0.0
1,5.0,441.0,6.0,0.0,8.0,1514.0,66.0,1105.0,0.0,982.0
2,5.0,1514.0,6.0,160.0,8.0,1514.0,66.0,774.0,0.0,0.0
2,5.0,1422.0,17.0,0.0,0.0,1422.0,142.0,1875.0,0.0,7.0
0,5.0,78.0,6.0,0.0,11.0,1494.0,66.0,2165.0,0.0,0.0
1,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1686.0,0.0,0.0
2,5.0,142.0,17.0,0.0,0.0,1422.0,142.0,664.0,0.0,151.0
2,5.0,52.0,17.0,0.0,0.0,1074.0,52.0,624.0,0.0,164.0
1,5.0,66.0,6.0,0.0,8.0,1484.0,66.0,273.0,0.0,0.0
2,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,953.0,0.0,2.0
0,5.0,156.0,6.0,0.0,8.0,1474.0,66.0,1165.0,0.0,333.0
0,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,749.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,417.0,0.0,0.0
1,5.0,185.0,6.0,0.0,8.0,1514.0,66.0,292.0,0.0,0.0
2,5.0,1074.0,17.0,0.0,0.0,1074.0,51.0,617.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,195.0,0.0,0.0
2,5.0,54.0,17.0,0.0,0.0,1074.0,52.0,607.0,0.0,79.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,242.0,0.0,187.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,417.0,0.0,0.0
2,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1179.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,103.0,0.0,0.0
2,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,776.0,0.0,16.0
1,5.0,66.0,6.0,0.0,8.0,1474.0,66.0,1673.0,0.0,503.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,987.0,0.0,0.0
2,5.0,54.0,6.0,0.0,5.0,401.0,54.0,449.0,0.0,0.0
2,5.0,307.0,17.0,0.0,0.0,1074.0,52.0,619.0,0.0,0.0
1,5.0,1484.0,6.0,0.0,8.0,1484.0,66.0,1465.0,0.0,0.0
2,5.0,1074.0,17.0,0.0,0.0,1074.0,52.0,591.0,0.0,180.0
0,5.0,1514.0,6.0,0.0,5.0,1514.0,54.0,310.0,0.0,6.0
1,5.0,1475.0,6.0,0.0,8.0,1514.0,66.0,389.0,0.0,19.0
1,5.0,97.0,6.0,0.0,8.0,1494.0,66.0,581.0,0.0,206.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,5.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,40.0,0.0,0.0
2,5.0,142.0,17.0,0.0,0.0,1422.0,142.0,1875.0,0.0,6.0
2,5.0,1474.0,6.0,0.0,8.0,1474.0,66.0,873.0,0.0,4.0
2,5.0,307.0,17.0,0.0,0.0,1074.0,52.0,695.0,0.0,0.0
0,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,161.0,0.0,0.0
2,5.0,92.0,6.0,0.0,5.0,401.0,54.0,780.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,226.0,0.0,1.0
2,5.0,1514.0,6.0,0.0,5.0,1514.0,54.0,2167.0,0.0,0.0
1,5.0,141.0,6.0,0.0,8.0,1514.0,66.0,403.0,0.0,403.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,27.0,0.0,0.0
1,5.0,727.0,6.0,0.0,8.0,1514.0,66.0,407.0,0.0,0.0
2,5.0,1514.0,6.0,160.0,8.0,1514.0,66.0,775.0,0.0,8.0
2,5.0,727.0,17.0,0.0,0.0,1074.0,52.0,607.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,717.0,0.0,5.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,2165.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,11.0,0.0,11.0
2,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1319.0,0.0,6.0
0,5.0,1514.0,6.0,0.0,5.0,1514.0,54.0,4.0,0.0,0.0
0,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,730.0,0.0,0.0
1,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1882.0,0.0,0.0
1,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1686.0,0.0,14.0
1,5.0,1514.0,6.0,0.0,8.0,1514.0,66.0,250.0,0.0,0.0
2,5.0,321.0,6.0,2.0,8.0,1514.0,66.0,848.0,0.0,0.0
2,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,888.0,0.0,21.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,226.0,0.0,0.0
2,5.0,52.0,17.0,0.0,0.0,1074.0,52.0,607.0,0.0,0.0
1,5.0,1484.0,6.0,0.0,8.0,1484.0,66.0,1913.0,0.0,0.0
0,5.0,534.0,6.0,0.0,8.0,1474.0,66.0,1165.0,0.0,115.0
1,5.0,1484.0,6.0,0.0,8.0,1484.0,66.0,2031.0,0.0,127.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,572.0,0.0,0.0
0,5.0,1274.0,6.0,0.0,8.0,1510.0,66.0,2.0,2.0,2.0
1,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,1478.0,0.0,156.0
0,5.0,1514.0,6.0,0.0,8.0,1514.0,66.0,6.0,2.0,6.0
0,5.0,54.0,6.0,0.0,5.0,1514.0,54.0,162.0,0.0,73.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,1022.0,0.0,4.0
2,5.0,1074.0,17.0,0.0,0.0,1074.0,52.0,695.0,0.0,0.0
2,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,159.0,0.0,0.0
0,5.0,66.0,6.0,0.0,8.0,1474.0,66.0,1031.0,0.0,250.0
1,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1643.0,0.0,0.0
1,5.0,54.0,6.0,0.0,5.0,1173.0,54.0,15.0,9.0,14.0
0,5.0,66.0,6.0,0.0,8.0,1510.0,66.0,1193.0,0.0,0.0
2,5.0,452.0,17.0,0.0,0.0,1074.0,52.0,607.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,268.0,0.0,16.0
2,5.0,66.0,6.0,0.0,8.0,1474.0,66.0,1614.0,0.0,487.0
2,5.0,1422.0,17.0,0.0,0.0,1422.0,142.0,748.0,0.0,0.0
0,5.0,1474.0,6.0,0.0,8.0,1474.0,66.0,1096.0,0.0,0.0
1,5.0,54.0,6.0,0.0,5.0,473.0,54.0,11.0,11.0,11.0
2,5.0,1422.0,17.0,0.0,0.0,1422.0,142.0,1875.0,0.0,6.0
1,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,1803.0,0.0,0.0
0,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,724.0,0.0,0.0
2,5.0,1074.0,17.0,0.0,0.0,1074.0,52.0,607.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,11.0,0.0,0.0
1,5.0,398.0,6.0,0.0,8.0,1514.0,66.0,405.0,0.0,373.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,437.0,0.0,13.0
1,5.0,1514.0,6.0,0.0,8.0,1514.0,66.0,481.0,0.0,0.0
2,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,884.0,0.0,31.0
2,5.0,502.0,6.0,0.0,8.0,1474.0,66.0,953.0,0.0,94.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,2190.0,0.0,0.0
0,5.0,1514.0,6.0,0.0,8.0,1514.0,66.0,2.0,2.0,2.0
1,5.0,906.0,6.0,0.0,5.0,1173.0,54.0,568.0,568.0,568.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,1519.0,0.0,14.0
2,5.0,591.0,6.0,0.0,8.0,1514.0,66.0,2022.0,32.0,40.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,632.0,0.0,17.0
0,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,375.0,0.0,0.0
0,5.0,166.0,6.0,0.0,8.0,1494.0,66.0,2436.0,0.0,0.0
0,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,987.0,0.0,0.0
1,5.0,773.0,6.0,0.0,8.0,1484.0,66.0,1914.0,0.0,1914.0
1,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1478.0,0.0,0.0
0,5.0,1474.0,6.0,0.0,8.0,1474.0,66.0,1096.0,0.0,5.0
2,5.0,142.0,17.0,0.0,0.0,1422.0,142.0,1843.0,0.0,3.0
2,5.0,1514.0,6.0,160.0,8.0,1514.0,66.0,897.0,0.0,0.0
2,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,883.0,0.0,14.0
1,5.0,1475.0,6.0,0.0,8.0,1514.0,66.0,372.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,1916.0,0.0,0.0
1,5.0,322.0,6.0,0.0,5.0,971.0,54.0,520.0,6.0,120.0
0,5.0,66.0,6.0,0.0,8.0,1510.0,66.0,1193.0,0.0,2.0
0,5.0,105.0,6.0,0.0,5.0,1514.0,54.0,287.0,0.0,287.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,2165.0,0.0,2.0
1,5.0,1484.0,6.0,0.0,8.0,1484.0,66.0,411.0,0.0,24.0
0,5.0,172.0,6.0,0.0,8.0,1474.0,66.0,1586.0,0.0,665.0
0,5.0,66.0,6.0,0.0,8.0,1474.0,66.0,1096.0,0.0,490.0
2,5.0,1514.0,6.0,160.0,8.0,1514.0,66.0,875.0,0.0,8.0
1,5.0,54.0,6.0,0.0,5.0,473.0,54.0,1007.0,0.0,292.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,987.0,0.0,0.0
2,5.0,66.0,6.0,0.0,8.0,1478.0,66.0,1470.0,0.0,1255.0
1,5.0,551.0,6.0,0.0,8.0,1514.0,66.0,273.0,0.0,0.0
0,5.0,1514.0,6.0,0.0,5.0,1514.0,54.0,29.0,29.0,29.0
2,5.0,54.0,17.0,0.0,0.0,1074.0,52.0,607.0,0.0,252.0
1,5.0,66.0,6.0,0.0,8.0,1494.0,66.0,1574.0,0.0,0.0
2,5.0,1514.0,6.0,160.0,8.0,1514.0,66.0,827.0,0.0,0.0
2,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,30.0,0.0,0.0
2,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,916.0,0.0,0.0
2,5.0,1074.0,17.0,0.0,0.0,1074.0,52.0,571.0,0.0,4.0
2,5.0,564.0,17.0,0.0,0.0,1074.0,51.0,617.0,0.0,59.0
1,5.0,97.0,6.0,0.0,8.0,1494.0,66.0,458.0,0.0,238.0
2,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,876.0,0.0,5.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,2165.0,0.0,2.0
2,5.0,236.0,6.0,0.0,8.0,1474.0,66.0,1614.0,0.0,43.0
1,5.0,111.0,6.0,0.0,8.0,1514.0,66.0,613.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,375.0,0.0,3.0
0,5.0,78.0,6.0,0.0,11.0,1494.0,66.0,2165.0,0.0,0.0
2,5.0,307.0,17.0,0.0,0.0,1074.0,52.0,583.0,0.0,125.0
1,5.0,1492.0,6.0,0.0,8.0,1514.0,66.0,2.0,0.0,2.0
2,5.0,1514.0,6.0,160.0,8.0,1514.0,1514.0,49.0,6.0,24.0
0,5.0,392.0,6.0,0.0,5.0,1486.0,54.0,6.0,0.0,6.0
2,5.0,1514.0,6.0,0.0,8.0,1514.0,66.0,990.0,0.0,0.0
1,5.0,66.0,6.0,0.0,8.0,1514.0,66.0,252.0,0.0,21.0
0,5.0,54.0,6.0,0.0,5.0,1514.0,54.0,2129.0,0.0,828.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1036.0,0.0,0.0
2,5.0,52.0,17.0,0.0,0.0,1074.0,52.0,695.0,0.0,0.0
0,5.0,1494.0,6.0,0.0,8.0,1494.0,66.0,1455.0,0.0,14.0
